Task ID,Type,Name,Status,Project,Context,Start Date,Due Date,Completion Date,Duration,Flagged,Notes
1,Project,OmniFocus 入门,active,,,,,,,0,
1.1,Action,欢迎使用 OmniFocus 2！如果这是您第一次使用该应用程序，请查看我们汇集的资源，帮助您入门。或者，直接进入程序，开始探索。,,OmniFocus 入门,,,,,,0,
1.2,Action,点按此项标题旁边的附注图标，查看项的更多相关信息。附注中还有关于其他教学课程项的有用信息！,,OmniFocus 入门,,,,,,0,您可以使用 “显示”菜单中的“显示/隐藏所有附注” 来显示和隐藏所有附注。
1.3,Action,开始添加任务和待办事项,,OmniFocus 入门,,,,,,0,
1.3.1,Action,点按工具栏中的“新建动作”可为此项目添加动作。,,OmniFocus 入门,,,,,,0,还可以按“返回”添加新动作，或从“文件”菜单 中选择 “新建动作”。
1.3.2,Action,从“文件”菜单选择“新建项目”以创建新的项目。,,OmniFocus 入门,,,,,,0,也可以使用底部工具栏中的加号按钮，或选择工具条中的现有项目，然后按“返回”。
1.3.3,Action,点按右侧的项状态圈，可将该项标记为“已完成”。,,OmniFocus 入门,,,,,,0,或者，选中项并按删除键，可将该项从 OmniFocus 完全删除。
1.3.4,Action,使用状态圈旁边的橙色楔形图标标记重要项。,,OmniFocus 入门,,,,,,0,也可使用检查器或 “编辑”菜单中的“设置标记” 命令来设置标记。
1.3.5,Action,使用右侧的检查器编辑详细动作。,,OmniFocus 入门,,,,,,0,如果检查器不可见，请点按 工具栏中的“检查器” 或从“显示”菜单选择 “显示检查器” 以显示出检查器。
1.4,Action,了解有关 OmniFocus 的更多信息,,OmniFocus 入门,,,,,,0,
1.4.1,Action,请首先查看应用程序内的帮助，了解 OmniFocus 如何帮助您的组织并完成您的目标。,,OmniFocus 入门,,,,,,0,还可从 iBookstore 免费下载帮助的电子书版本，用户可在其中精确搜索所需要的帮助。
1.4.2,Action,请访问 OmniFocus 官方网站，观看简介视频，查看支持文章以及其他海量资源。,,OmniFocus 入门,,,,,,0,"OmniFocus 视频 <www.omnigroup.com/video/omnifocus/>

OmniFocus 支持 <http://support.omnigroup.com/omnifocus>"
1.4.3,Action,查看“深入了解 OmniFocus”— 该知识库分享某些十分聪明的用户如何使用 OmniFocus 创造杰出作品。,,OmniFocus 入门,,,,,,0,http://inside.omnifocus.com
1.4.4,Action,最后一个要点，请访问 OmniFocus 论坛与其他用户分享您的真知灼见。,,OmniFocus 入门,,,,,,0,OmniFocus 论坛 <www.omnigroup.com/forward/omnifocusforums>
2,Project,☘ DAT256X,active,,,,,,,0,
